experiment,run_idx,step_idx,ck_stage,technique_id,technique_name,action_success,detected,detect_prob,detection_delay,impact_minutes,attacker_belief_high_cap,nash_prob_chosen,discounted_payoff_step
Solver_Bayesian_Adaptive,8,4,Installation,T1505.003,Server Software Component: Web Shell,True,False,0.162,0,0,0.01,1.0,2794.9781968747575
Solver_Bayesian_Adaptive,8,5,Command & Control,T0884,Connection Proxy,True,True,0.11250000000000002,1,0,0.043478260869565216,1.0,4290.252588623066
Solver_Bayesian_Adaptive,9,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.6249999997
Solver_Bayesian_Adaptive,9,1,Weaponization,T0818,Engineering Workstation Compromise,True,False,0.28350000000000003,0,0,0.015384615384615373,0.3333333333333333,1094.7544687496083
Solver_Bayesian_Adaptive,9,2,Delivery,T0865,Spearphishing Attachment,False,False,0.3960000000000001,0,0,0.01,1.0,1040.3117499991467
Solver_Bayesian_Adaptive,9,3,Exploitation,T0863,User Execution,True,False,0.051750000000000004,0,0,0.01,1.0,3524.4245410546437
Solver_Bayesian_Adaptive,9,4,Installation,T1505.003,Server Software Component: Web Shell,True,False,0.162,0,0,0.01,1.0,2794.978196875787
Solver_Bayesian_Adaptive,9,5,Command & Control,T0884,Connection Proxy,True,False,0.11250000000000002,0,0,0.01,1.0,4290.252588623382
Solver_Bayesian_Adaptive,9,6,Actions on Objectives,T0882,Theft of Operational Information,False,False,0.17550000000000002,0,0,0.01,1.0,4498.938792679268
Solver_Bayesian_Adaptive,10,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.6250000002137
Solver_Bayesian_Adaptive,10,1,Weaponization,T0849,Masquerading,True,False,0.04725000000000001,0,0,0.015384615384615373,0.9380952380946436,1096.1206874997674
Solver_Bayesian_Adaptive,10,2,Delivery,T0865,Spearphishing Attachment,True,True,0.3960000000000001,1,0,0.06569343065693425,1.0,1040.3117500007245
Solver_Bayesian_Adaptive,11,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.6250000007176
Solver_Bayesian_Adaptive,11,1,Weaponization,T0849,Masquerading,True,False,0.04725000000000001,0,0,0.015384615384615373,0.9380952380933881,1096.1206875005141
Solver_Bayesian_Adaptive,11,2,Delivery,T0865,Spearphishing Attachment,True,False,0.3960000000000001,0,0,0.01,1.0,1040.3117499992786
Solver_Bayesian_Adaptive,11,3,Exploitation,T0863,User Execution,True,False,0.051750000000000004,0,0,0.01,1.0,3524.424541055478
Solver_Bayesian_Adaptive,11,4,Installation,T1505.003,Server Software Component: Web Shell,True,False,0.162,0,0,0.01,1.0,2794.9781968745306
Solver_Bayesian_Adaptive,11,5,Command & Control,T0884,Connection Proxy,True,False,0.11250000000000002,0,0,0.01,1.0,4290.252588622309
Solver_Bayesian_Adaptive,11,6,Actions on Objectives,T0882,Theft of Operational Information,False,False,0.17550000000000002,0,0,0.01,1.0,4498.938792679314
Solver_Bayesian_Adaptive,12,0,Reconnaissance,T0888,Remote System Information Discovery,True,False,0.03,0,0,0.11111111111111108,0.3333333333333333,973.9374999992941
Solver_Bayesian_Adaptive,12,1,Weaponization,T0849,Masquerading,False,False,0.026250000000000002,0,0,0.015384615384615373,0.3333333333333333,1121.9559375000858
Solver_Bayesian_Adaptive,12,2,Delivery,T0865,Spearphishing Attachment,True,True,0.3960000000000001,1,0,0.06569343065693425,1.0,1040.3117500001767
Solver_Bayesian_Adaptive,13,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,0.999999999998829,1028.6249999997485
Solver_Bayesian_Adaptive,13,1,Weaponization,T0849,Masquerading,False,False,0.04725000000000001,0,0,0.015384615384615373,0.9380952380900378,1096.1206875004464
Solver_Bayesian_Adaptive,13,2,Delivery,T0865,Spearphishing Attachment,False,True,0.3960000000000001,1,0,0.06569343065693425,1.0,1040.311750000678
Solver_Bayesian_Adaptive,14,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,0.9999999999969452,1028.625000000619
Solver_Bayesian_Adaptive,14,1,Weaponization,T0818,Engineering Workstation Compromise,False,False,0.1575,0,0,0.015384615384615373,0.3333333333333333,1290.613593749245
Solver_Bayesian_Adaptive,14,2,Delivery,T0865,Spearphishing Attachment,False,False,0.3960000000000001,0,0,0.01,1.0,1040.3117500003827
Solver_Bayesian_Adaptive,14,3,Exploitation,T0863,User Execution,True,False,0.051750000000000004,0,0,0.01,1.0,3524.4245410552717
Solver_Bayesian_Adaptive,14,4,Installation,T1505.003,Server Software Component: Web Shell,True,False,0.162,0,0,0.01,1.0,2794.978196875188
Solver_Bayesian_Adaptive,14,5,Command & Control,T0884,Connection Proxy,True,False,0.11250000000000002,0,0,0.01,1.0,4290.252588623068
Solver_Bayesian_Adaptive,14,6,Actions on Objectives,T0882,Theft of Operational Information,False,False,0.17550000000000002,0,0,0.01,1.0,4498.938792678634
Solver_Bayesian_Adaptive,15,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,1.0,1028.6249999999995
Solver_Bayesian_Adaptive,15,1,Weaponization,T0820,Exploitation for Evasion,True,True,0.6615000000000001,1,0,0.35999999999999993,0.3333333333333333,957.306687499064
Solver_Bayesian_Adaptive,16,0,Reconnaissance,T0842,Network Sniffing,True,False,0.025,0,0,0.11111111111111108,0.9999999999989765,1028.6250000006917
Solver_Bayesian_Adaptive,16,1,Weaponization,T0849,Masquerading,False,False,0.04725000000000001,0,0,0.015384615384615373,0.9380952380903237,1096.120687500362
Solver_Bayesian_Adaptive,16,2,Delivery,T0865,Spearphishing Attachment,True,False,0.3960000000000001,0,0,0.01,1.0,1040.3117500003477
Solver_Bayesian_Adaptive,16,3,Exploitation,T0863,User Execution,True,False,0.051750000000000004,0,0,0.01,1.0,3524.4245410550297
Solver_Bayesian_Adaptive,16,4,Installation,T1505.003,Server Software Component: Web Shell,True,False,0.162,0,0,0.01,1.0,2794.9781968751377
Solver_Bayesian_Adaptive,16,5,Command & Control,T0884,Connection Proxy,True,False,0.11250000000000002,0,0,0.01,1.0,4290.25258862363
Solver_Bayesian_Adaptive,16,6,Actions on Objectives,T0882,Theft of Operational Information,False,False,0.17550000000000002,0,0,0.01,1.0,4498.938792678619
